Hop,No_QEC,With_QEC
0,1.0,1.0
1,0.9889475522099971,1.0
2,0.9788469604620731,1.0
3,0.9598933255242788,1.0
4,0.9440048625363149,1.0
5,0.9412067831338972,1.0
6,0.9247825456924379,1.0
7,0.9228955807473492,1.0
8,0.9201048577529592,1.0
9,0.9188908416898532,1.0
10,0.9166633161433105,1.0
11,0.9002943783086407,1.0
12,0.8895164842524065,1.0
13,0.8739437710073107,1.0
14,0.8683329994162285,1.0
15,0.865363262724936,1.0
16,0.8511840596495818,1.0
17,0.8419216580708831,1.0
18,0.8395494446071604,1.0
19,0.8330554578786922,1.0
20,0.8244983541542884,1.0
21,0.8192385780172097,1.0
22,0.8156141777859839,1.0
23,0.803698815651013,1.0
24,0.801527283904964,1.0
25,0.7918228622735775,1.0
26,0.7845572626201834,1.0
27,0.7759188532886071,1.0
28,0.7742388150476116,1.0
29,0.765826390290351,1.0
30,0.7578584525786102,1.0
31,0.7481778935914063,1.0
32,0.7350045967587145,1.0
33,0.720525522528068,1.0
34,0.719018475891249,1.0
35,0.7103210528869996,1.0
36,0.7004695792427499,1.0
37,0.698940040401587,1.0
38,0.6883181857977427,1.0
39,0.6769139863429249,1.0
40,0.672908685228197,1.0
41,0.662788335242125,1.0
42,0.6497545482589022,1.0
43,0.6421945841412925,1.0
44,0.6335356630304871,1.0
45,0.624328062187578,1.0
46,0.6144846403508218,1.0
47,0.6044189616988134,1.0
48,0.6012252072921875,1.0
49,0.600261517299268,1.0
50,0.594801007398334,1.0
51,0.5903154101741602,1.0
52,0.5844919839721028,1.0
53,0.5820674592376669,1.0
54,0.580420870152119,1.0
55,0.5714657046648732,1.0
56,0.5619530837769763,1.0
57,0.5616569068670794,1.0
58,0.5563165378553662,1.0
59,0.5460286326610062,1.0
60,0.5406750062508296,1.0
61,0.5388506977705054,1.0
62,0.5358753320304669,1.0
63,0.5306571382813268,1.0
64,0.5256214350466054,1.0
65,0.5210992194648897,1.0
66,0.5127388398465865,1.0
67,0.5113054347604391,1.0
68,0.5069498346462907,1.0
69,0.49914848775134285,1.0
70,0.4903658346788249,1.0
71,0.4853690613957608,1.0
72,0.4776451040625465,1.0
73,0.4724985451683226,1.0
74,0.4665516064158798,1.0
75,0.4603274797752116,1.0
76,0.4601865666354485,1.0
77,0.45710142307359025,1.0
78,0.45115673273768325,1.0
79,0.4507018581642922,1.0
80,0.4483562699799454,1.0
81,0.44082400545300127,1.0
82,0.4356325742239226,1.0
83,0.4272001644309858,1.0
84,0.4241949722038932,1.0
85,0.42267015916950645,1.0
86,0.42240235615935323,1.0
87,0.41905244579175827,1.0
88,0.4174390294528399,1.0
89,0.4104208363269692,1.0
90,0.40745960453994884,1.0
91,0.4036937306061726,1.0
92,0.40205203147971275,1.0
93,0.3998678058434984,1.0
94,0.3918723930881026,1.0
95,0.38802273698076223,1.0
96,0.3855246534119481,1.0
97,0.38364419029918606,1.0
98,0.37718562015248275,1.0
99,0.37275528857151224,1.0
100,0.3708020586016138,1.0
